Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
2810,907410100.0,60.0,RL,70.0,8400,paved,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7.0,5.0,2005.0,1990.0,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,784.0,784.0,GasA,Ex,Y,SBrkr,784.0,827.0,0.0,1611.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,6.0,Typ,0.0,,Attchd,2005.0,RFn,2.0,572.0,TA,TA,Y,144.0,36.0,0.0,0.0,0.0,0.0,,,,0.0,3.0,2006.0,WD ,Normal,"$195,800"
2886,913350030.0,20.0,RL,69.0,23580,Pave,,IR1,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,6.0,6.0,1979.0,1979.0,Gable,CompShg,Plywood,Plywood,,0.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,776.0,Unf,0.0,849.0,1625.0,GasA,TA,Y,SBrkr,1625.0,0.0,0.0,1625.0,0.0,1.0,2.0,0.0,3.0,1.0,Fa,6.0,Typ,1.0,TA,Attchd,1979.0,Fin,2.0,576.0,TA,TA,Y,136.0,28.0,0.0,0.0,0.0,0.0,,,,0.0,9.0,2006.0,WD ,Normal,242500
1883,534275220.0,20.0,RL,80.0,8892,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,5.0,1960.0,1960.0,Gable,CompShg,MetalSd,MetalSd,BrkCmn,66.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1065.0,1065.0,GasA,Gd,Y,SBrkr,1065.0,0.0,0.0,1065.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,0.0,,Detchd,1974.0,Unf,2.0,461.0,TA,TA,Y,74.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,7.0,2007.0,COD,Normal,126500
717,902326030.0,70.0,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7.0,7.0,1880.0,2003.0,Mansard,CompShg,Stucco,Stucco,,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,Unf,0.0,1240.0,1240.0,GasW,TA,N,SBrkr,1320.0,1320.0,0.0,2640.0,0.0,0.0,1.0,1.0,4.0,1.0,Gd,8.0,Typ,1.0,Gd,Detchd,1950.0,Unf,4.0,864.0,TA,TA,N,181.0,0.0,386.0,0.0,0.0,0.0,,,,0.0,5.0,2009.0,WD ,Normal,265979
312,914476520.0,20.0,RL,129.0,9196,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7.0,5.0,2003.0,2003.0,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1560.0,1560.0,GasA,Ex,Y,SBrkr,1560.0,0.0,0.0,1560.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,0.0,,Attchd,2003.0,Fin,2.0,573.0,TA,TA,Y,100.0,150.0,0.0,0.0,0.0,0.0,,,,0.0,4.0,2010.0,WD ,Normal,12500000
265,907252120.0,20.0,RL,,11423,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8.0,5.0,2001.0,2002.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,479.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1358.0,Unf,0.0,223.0,1581.0,GasA,Ex,Y,SBrkr,1601.0,0.0,0.0,1601.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,6.0,Typ,1.0,TA,Attchd,2001.0,RFn,2.0,670.0,TA,TA,Y,180.0,0.0,0.0,0.0,0.0,0.0,,MnPrv,Shed,2000.0,5.0,2010.0,WD ,Normal,272000
774,905107310.0,85.0,rl,,8014,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,6.0,5.0,1978.0,1978.0,Gable,CompShg,Plywood,HdBoard,BrkFace,23.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,456.0,Unf,0.0,0.0,456.0,GasA,TA,Y,SBrkr,1034.0,0.0,0.0,1034.0,0.0,1.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,1.0,Fa,Basment,1978.0,Fin,2.0,504.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2009.0,WD ,Normal,149900
2511,533221080.0,160.0,FV,,2998,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6.0,5.0,2000.0,2000.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,GLQ,353.0,Unf,0.0,403.0,756.0,GasA,Ex,Y,SBrkr,768.0,756.0,0.0,1524.0,0.0,0.0,2.0,1.0,2.0,1.0,Gd,4.0,Typ,0.0,,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0.0,32.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2006.0,WD ,Normal,166000
2212,909275110.0,70.0,RL,60.0,7230,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2.5Unf,7.0,7.0,1927.0,1992.0,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,851.0,851.0,GasA,Gd,Y,SBrkr,867.0,851.0,0.0,1718.0,0.0,0.0,2.0,1.0,4.0,1.0,Gd,8.0,Typ,1.0,TA,Detchd,1927.0,Unf,2.0,264.0,TA,TA,Y,291.0,0.0,60.0,0.0,153.0,0.0,,GdPrv,,0.0,10.0,2007.0,WD ,Normal,238000
648,535352090.0,30.0,RL,80.0,8480,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1945.0,1950.0,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,Gd,CBlock,TA,TA,No,BLQ,700.0,Unf,0.0,93.0,793.0,GasA,TA,Y,SBrkr,793.0,0.0,0.0,793.0,1.0,0.0,1.0,0.0,2.0,1.0,Fa,4.0,Typ,0.0,,Detchd,1945.0,Unf,1.0,240.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,8.0,2009.0,WD ,Normal,113000
1969,535457050.0,20.0,RL,70.0,7000,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5.0,6.0,1961.0,1961.0,Gable,CompShg,BrkFace,Wd Sdng,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,Gd,Y,SBrkr,925.0,0.0,0.0,925.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,7.0,Typ,0.0,,Attchd,1961.0,Fin,1.0,300.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,7.0,2007.0,WD ,Normal,99000
1612,526352080.0,20.0,RL,85.0,10667,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,6.0,1971.0,1971.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,302.0,TA,TA,CBlock,TA,TA,No,BLQ,838.0,Unf,0.0,749.0,1587.0,GasA,TA,Y,SBrkr,1587.0,0.0,0.0,1587.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,7.0,Typ,1.0,Gd,Attchd,1971.0,Unf,2.0,525.0,TA,TA,Y,0.0,44.0,0.0,0.0,0.0,0.0,,,,0.0,3.0,2007.0,WD ,Normal,167300
118,534202160.0,20.0,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,5.0,1966.0,1966.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,172.0,TA,TA,CBlock,TA,TA,No,Rec,698.0,Unf,0.0,534.0,1232.0,GasA,TA,Y,SBrkr,1232.0,0.0,0.0,1232.0,1.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,0.0,,Attchd,1966.0,RFn,2.0,490.0,TA,TA,Y,0.0,224.0,0.0,0.0,0.0,0.0,,,,0.0,4.0,2010.0,WD ,Normal,142250
230,905109170.0,20.0,RL,,20062,Pave,,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7.0,7.0,1977.0,2001.0,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,Gd,Gd,CBlock,Gd,TA,Gd,ALQ,1092.0,Unf,0.0,328.0,1420.0,GasA,Gd,Y,SBrkr,1483.0,0.0,0.0,1483.0,1.0,0.0,1.0,1.0,1.0,1.0,TA,4.0,Typ,2.0,TA,Attchd,1977.0,RFn,2.0,690.0,TA,TA,Y,496.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,4.0,2010.0,WD ,Normal,270000
1808,531363040.0,20.0,RL,63.0,7500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7.0,5.0,2006.0,2006.0,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,Gd,No,Unf,0.0,Unf,0.0,1143.0,1143.0,GasA,Ex,Y,SBrkr,1143.0,0.0,0.0,1143.0,0.0,0.0,1.0,1.0,3.0,1.0,Gd,5.0,Typ,0.0,,,,,0.0,0.0,,,Y,0.0,55.0,0.0,0.0,0.0,0.0,,,,0.0,10.0,2007.0,WD ,Normal,147000
649,535353040.0,20.0,RL,60.0,7626,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,8.0,1952.0,2005.0,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,Gd,TA,CBlock,TA,TA,No,GLQ,931.0,Unf,0.0,100.0,1031.0,GasA,Gd,Y,SBrkr,1031.0,0.0,0.0,1031.0,1.0,0.0,1.0,0.0,2.0,1.0,Gd,5.0,Typ,0.0,,Attchd,1952.0,Unf,1.0,230.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,3.0,2009.0,WD ,Normal,145500
1241,535176100.0,20.0,RL,90.0,13200,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6.0,6.0,1958.0,1958.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,187.0,TA,TA,CBlock,TA,TA,No,LwQ,958.0,Unf,0.0,437.0,1395.0,GasA,Ex,Y,SBrkr,1570.0,0.0,0.0,1570.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,1.0,TA,Attchd,1958.0,RFn,2.0,441.0,TA,TA,Y,490.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2008.0,WD ,Normal,166800
2538,534202020.0,20.0,RL,,9759,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,5.0,1966.0,1966.0,Gable,CompShg,Plywood,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,799.0,Unf,0.0,252.0,1051.0,GasA,TA,Y,SBrkr,1051.0,0.0,0.0,1051.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,0.0,,Attchd,1966.0,RFn,99.0,264.0,TA,TA,Y,182.0,88.0,0.0,0.0,0.0,0.0,,,,0.0,3.0,2006.0,WD ,Normal,124400
1280,535456100.0,20.0,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,7.0,1954.0,1954.0,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,825.0,825.0,GasA,TA,Y,FuseA,825.0,0.0,0.0,825.0,0.0,1.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,,Attchd,1954.0,Unf,1.0,350.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,7.0,2008.0,WD ,Normal,109500
2291,923228390.0,160.0,RM,21.0,1890,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4.0,3.0,1976.0,1976.0,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,546.0,546.0,GasA,Ex,Y,SBrkr,546.0,546.0,0.0,1092.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,0.0,,Attchd,1976.0,Unf,1.0,286.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,GdWo,,0.0,4.0,2007.0,COD,Normal,75190
1915,535106180.0,50.0,RL,78.0,11344,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1.5Fin,5.0,5.0,1958.0,1958.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,BLQ,460.0,Unf,0.0,414.0,874.0,GasW,TA,Y,FuseA,874.0,650.0,0.0,1524.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,7.0,Typ,0.0,,Attchd,1958.0,Unf,1.0,315.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,GdWo,,0.0,7.0,2007.0,WD ,Normal,144000
2742,905452140.0,50.0,RL,75.0,9525,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6.0,4.0,1954.0,1972.0,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,Fa,No,Rec,444.0,Unf,0.0,550.0,994.0,GasA,Gd,Y,SBrkr,1216.0,639.0,0.0,1855.0,0.0,0.0,2.0,0.0,4.0,1.0,TA,7.0,Typ,0.0,,Attchd,1954.0,Unf,1.0,325.0,TA,TA,Y,182.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,10.0,2006.0,WD ,Normal,136900
1608,923400040.0,50.0, RL,75.0,12508,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,6.0,7.0,1940.0,1985.0,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,660.0,Unf,0.0,323.0,983.0,GasA,Ex,Y,SBrkr,983.0,767.0,0.0,1750.0,1.0,0.0,2.0,0.0,4.0,1.0,TA,7.0,Mod,0.0,,Attchd,1989.0,Unf,1.0,423.0,TA,TA,Y,245.0,0.0,156.0,0.0,0.0,0.0,,,Shed,1300.0,7.0,2008.0,WD ,Normal,160000
1333,903225140.0,50.0,RM,50.0,5000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,Norm,1Fam,1.5Fin,5.0,7.0,1941.0,2006.0,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,600.0,Unf,0.0,72.0,672.0,GasA,Ex,Y,SBrkr,832.0,378.0,0.0,1210.0,0.0,0.0,1.0,0.0,3.0,1.0,Gd,6.0,Typ,0.0,,Detchd,1941.0,Unf,1.0,240.0,TA,TA,P,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2008.0,WD ,Normal,124000
1030,527359030.0,20.0,RL,80.0,10400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6.0,5.0,1976.0,1976.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1444.0,1444.0,GasA,TA,Y,SBrkr,1444.0,0.0,0.0,1444.0,0.0,0.0,2.0,0.0,2.0,1.0,TA,5.0,Typ,1.0,Gd,Attchd,1976.0,Unf,2.0,473.0,TA,TA,Y,0.0,24.0,0.0,0.0,0.0,0.0,,GdWo,,0.0,4.0,2008.0,WD ,Normal,159900
2665,902329090.0,70.0,RM,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7.0,7.0,1920.0,1950.0,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,596.0,596.0,GasA,Ex,Y,SBrkr,998.0,764.0,0.0,1762.0,1.0,0.0,1.0,1.0,4.0,1.0,Gd,8.0,Typ,0.0,,Detchd,1989.0,Unf,2.0,576.0,TA,TA,N,36.0,0.0,221.0,0.0,0.0,0.0,,,,0.0,10.0,2006.0,WD ,Normal,157000
2205,909254100.0,70.0,RL,53.0,7155,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6.0,8.0,1926.0,1991.0,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,686.0,686.0,GasA,TA,Y,SBrkr,686.0,775.0,0.0,1461.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,1.0,Gd,Detchd,1926.0,Unf,1.0,225.0,TA,TA,N,0.0,0.0,116.0,0.0,0.0,0.0,,MnPrv,,0.0,7.0,2007.0,WD ,Normal,135000
2454,528366040.0,60.0,RL,,12585,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.0,5.0,1993.0,1993.0,Gable,CompShg,HdBoard,ImStucc,BrkFace,420.0,Gd,TA,PConc,Gd,TA,No,LwQ,247.0,GLQ,1039.0,0.0,1286.0,GasA,Ex,Y,SBrkr,1565.0,1234.0,0.0,2799.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,8.0,Typ,1.0,TA,Attchd,1993.0,Fin,3.0,704.0,TA,TA,Y,432.0,136.0,0.0,0.0,0.0,0.0,,,,0.0,10.0,2006.0,WD ,Normal,315000
2094,906203140.0,60.0,RL,103.0,13125,Pave,,IR1,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7.0,5.0,1991.0,1991.0,Gable,CompShg,HdBoard,HdBoard,,0.0,Gd,TA,PConc,Ex,TA,Mn,BLQ,48.0,GLQ,634.0,422.0,1104.0,GasA,Ex,Y,SBrkr,912.0,1215.0,0.0,2127.0,1.0,0.0,2.0,1.0,4.0,1.0,Gd,8.0,Typ,1.0,TA,Attchd,1991.0,RFn,3.0,833.0,TA,TA,Y,72.0,192.0,224.0,0.0,0.0,0.0,,GdPrv,,0.0,11.0,2007.0,WD ,Normal,238000
2277,921205070.0,60.0,RL,88.0,12665,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8.0,5.0,2005.0,2006.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,245.0,Gd,TA,PConc,Gd,Gd,Gd,Unf,0.0,Unf,0.0,1094.0,1094.0,GasA,Ex,Y,SBrkr,1133.0,1349.0,0.0,2482.0,0.0,0.0,2.0,1.0,4.0,1.0,Gd,9.0,Typ,1.0,Gd,BuiltIn,2005.0,Fin,3.0,642.0,TA,TA,Y,144.0,39.0,0.0,0.0,0.0,0.0,,,,0.0,2.0,2007.0,WD ,Normal,281213
816,906230010.0,90.0,RL,,11855,Pave ,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,2Story,7.0,5.0,2000.0,2000.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.0,TA,TA,PConc,Ex,TA,No,GLQ,820.0,Unf,0.0,348.0,1168.0,GasA,Ex,Y,SBrkr,1168.0,1619.0,0.0,2787.0,2.0,0.0,4.0,2.0,6.0,2.0,TA,8.0,Typ,2.0,TA,BuiltIn,2000.0,Fin,4.0,820.0,TA,TA,Y,312.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,10.0,2009.0,WD ,Normal,269500
969,921128050.0,20.0,RL,85.0,12633,Pave,,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,9.0,5.0,2007.0,2007.0,Hip,CompShg,CemntBd,CmentBd,Stone,290.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1640.0,Unf,0.0,338.0,1978.0,GasA,Ex,Y,SBrkr,1978.0,0.0,0.0,1978.0,1.0,0.0,2.0,0.0,2.0,1.0,Ex,7.0,Typ,1.0,Gd,Attchd,2007.0,Fin,3.0,920.0,TA,TA,Y,308.0,52.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2009.0,WD ,Normal,425000
332,923228270.0,160.0,RM,21.0,1900,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,4.0,4.0,1970.0,1970.0,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,546.0,546.0,GasA,Ex,Y,SBrkr,546.0,546.0,0.0,1092.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,5.0,Typ,0.0,,,,,0.0,0.0,,,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2010.0,WD ,Normal,88250
627,535125090.0,60.0,RL,85.0,13600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,7.0,6.0,1965.0,1990.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,176.0,TA,TA,CBlock,TA,TA,No,BLQ,454.0,Unf,0.0,314.0,768.0,GasA,TA,Y,SBrkr,1186.0,800.0,0.0,1986.0,0.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,Typ,3.0,Fa,Attchd,1965.0,Unf,2.0,486.0,TA,TA,Y,0.0,42.0,0.0,0.0,189.0,0.0,,,,0.0,10.0,2009.0,WD ,Normal,205000
2710,905103140.0,80.0,RL,96.0,11777,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,5.0,6.0,1966.0,1966.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,97.0,TA,TA,CBlock,TA,TA,Av,LwQ,328.0,ALQ,551.0,285.0,1164.0,GasA,Ex,Y,SBrkr,1320.0,0.0,0.0,1320.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,2.0,Fa,Attchd,1966.0,RFn,2.0,564.0,TA,TA,Y,160.0,68.0,240.0,0.0,0.0,0.0,,,,0.0,5.0,2006.0,WD ,Abnorml,164500
1626,527162140.0,60.0,RL,60.0,7500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6.0,5.0,1999.0,2003.0,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,938.0,938.0,GasA,Ex,Y,SBrkr,957.0,1342.0,0.0,2299.0,0.0,0.0,3.0,1.0,5.0,1.0,TA,7.0,Typ,1.0,TA,Attchd,1999.0,Fin,2.0,482.0,TA,TA,Y,188.0,30.0,0.0,0.0,0.0,0.0,,,,0.0,8.0,2007.0,WD ,Normal,204000
1000,527127140.0,120.0,RL,41.0,4923,Pave,,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8.0,5.0,2001.0,2002.0,Gable,CompShg,CemntBd,CmentBd,,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1153.0,Unf,0.0,440.0,1593.0,GasA,Ex,Y,SBrkr,1593.0,0.0,0.0,1593.0,1.0,0.0,1.0,1.0,0.0,1.0,Ex,5.0,Typ,1.0,Gd,Attchd,2001.0,Fin,2.0,682.0,TA,TA,Y,0.0,120.0,0.0,0.0,224.0,0.0,,,,0.0,8.0,2008.0,WD ,Normal,286000
1913,535105110.0,80.0,RL,100.0,9600,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6.0,5.0,1961.0,1961.0,Hip,CompShg,WdShing,Wd Shng,BrkFace,291.0,TA,TA,CBlock,TA,TA,Av,ALQ,600.0,Unf,0.0,618.0,1218.0,GasA,TA,Y,SBrkr,1254.0,0.0,0.0,1254.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,1.0,Gd,Attchd,1961.0,RFn,2.0,525.0,TA,TA,Y,0.0,0.0,0.0,0.0,168.0,0.0,,,,0.0,5.0,2007.0,WD ,Normal,158500
1629,527165100.0,80.0,RL,,9125,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7.0,5.0,1992.0,1992.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,170.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,812.0,670.0,0.0,1482.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,1.0,TA,Attchd,1992.0,Fin,2.0,392.0,TA,TA,Y,100.0,25.0,0.0,0.0,0.0,0.0,,,,0.0,7.0,2007.0,WD ,Normal,163900
290,909176150.0,30.0,RL,,7890,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6.0,6.0,1939.0,1950.0,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,Rec,238.0,Unf,0.0,618.0,856.0,GasA,TA,Y,SBrkr,856.0,0.0,0.0,856.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,1.0,Gd,Detchd,1939.0,Unf,2.0,399.0,TA,TA,Y,0.0,0.0,0.0,0.0,166.0,0.0,,,,0.0,3.0,2010.0,WD ,Normal,126000
2244,911128010.0,20.0,C (all),65.0,6565,Pave,,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4.0,6.0,,1980.0,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,GLQ,967.0,Unf,0.0,106.0,1073.0,GasA,Gd,y,FuseA,1073.0,0.0,0.0,1073.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,0.0,,Detchd,1985.0,Unf,2.0,720.0,TA,TA,Y,0.0,444.0,0.0,0.0,0.0,0.0,,,,0.0,8.0,2007.0,WD ,Abnorml,140000
